[0.19 ,  103 ,  3]
[0.2 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.2 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.2 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.21 ,  103 ,  3]
[0.2 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.2 ,  104 ,  3]
[0.22 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.2 ,  104 ,  3]
[0.21 ,  104 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.2 ,  105 ,  3]
[0.2 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.21 ,  105 ,  3]
[0.2 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.2 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  106 ,  3]
[0.21 ,  107 ,  3]
[0.22 ,  107 ,  3]
[0.22 ,  107 ,  3]
